PRIM_STATE,H_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,51.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,72.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,54.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,58.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,58.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,48.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,37.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,59.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,55.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,61.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,64.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,54.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,55.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,49.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,54.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,52.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,50.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,48.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,51.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,70.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,45.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,80.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,40.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,32.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,35.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,37.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,46.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,35.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,28.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,29.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,27.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,41.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,52.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,46.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,24.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,29.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,43.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,34.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,26.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,44.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,36.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,48.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,59.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
