statecode,code,title,Level,employment,Employment RSE,"Employment per 1,000 jobs",Location quotient,Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
AL,17-0000,Architecture and Engineering Occupations,major,46060,1.90%,23.889,1.38,$39.66 ,$44.88 ,"$93,350 ",0.90%
AL,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,17300,3.30%,8.975,0.7,$18.56 ,$23.34 ,"$48,550 ",1.90%
AL,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,53670,1.30%,27.836,0.95,$11.56 ,$13.13 ,"$27,300 ",0.70%
AL,13-0000,Business and Financial Operations Occupations,major,89400,1.20%,46.365,0.72,$30.37 ,$35.92 ,"$74,720 ",0.70%
AL,21-0000,Community and Social Service Occupations,major,20220,2.10%,10.486,0.66,$21.89 ,$22.05 ,"$45,860 ",0.60%
AL,15-0000,Computer and Mathematical Occupations,major,46460,2.20%,24.095,0.73,$38.40 ,$42.55 ,"$88,510 ",1.10%
AL,47-0000,Construction and Extraction Occupations,major,84130,1.20%,43.634,1.05,$18.29 ,$21.11 ,"$43,910 ",0.50%
AL,25-0000,Educational Instruction and Library Occupations,major,96070,1.30%,49.827,0.86,$23.91 ,$26.26 ,"$54,620 ",0.70%
AL,45-0000,"Farming, Fishing, and Forestry Occupations",major,6530,4.10%,3.387,1.05,$15.22 ,$17.16 ,"$35,690 ",1.60%
AL,35-0000,Food Preparation and Serving Related Occupations,major,159350,1.10%,82.644,1.04,$9.95 ,$11.16 ,"$23,210 ",0.80%
AL,29-0000,Healthcare Practitioners and Technical Occupations,major,131260,0.70%,68.076,1.09,$28.50 ,$34.51 ,"$71,790 ",1.10%
AL,31-0000,Healthcare Support Occupations,major,65550,1.20%,33.999,0.73,$12.22 ,$13.43 ,"$27,940 ",0.60%
AL,49-0000,"Installation, Maintenance, and Repair Occupations",major,94520,1.00%,49.022,1.24,$22.78 ,$24.57 ,"$51,100 ",0.50%
AL,23-0000,Legal Occupations,major,10900,4.50%,5.654,0.68,$35.30 ,$44.87 ,"$93,320 ",3.10%
AL,19-0000,"Life, Physical, and Social Science Occupations",major,11460,2.20%,5.942,0.66,$29.84 ,$33.36 ,"$69,380 ",1.30%
AL,11-0000,Management Occupations,major,96070,1.30%,49.827,0.79,$45.51 ,$51.06 ,"$106,210 ",0.60%
AL,43-0000,Office and Administrative Support Occupations,major,234120,0.70%,121.424,0.93,$17.28 ,$17.88 ,"$37,190 ",0.30%
AL,39-0000,Personal Care and Service Occupations,major,29800,1.90%,15.454,0.85,$11.22 ,$13.49 ,"$28,050 ",1.30%
AL,51-0000,Production Occupations,major,200950,0.80%,104.223,1.75,$17.35 ,$18.85 ,"$39,210 ",0.50%
